fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01021,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01023,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01025,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01027,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01029,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01031,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01033,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01035,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01037,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01039,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01041,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01043,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01045,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01047,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01049,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01051,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01053,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01055,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01057,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01059,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01061,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01063,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01065,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01067,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01069,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01071,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01073,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01075,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01077,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01079,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01081,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01083,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01085,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01087,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01089,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01091,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01093,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01095,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
01097,182.99,184.74,184.83,190.53,189.94,191.1,200.93,209.35,199.86,195.6,201.61,206.39,213.45,241.28,436.21,503.27,403.78,411.85,424.18,502.45,608.65,577.71,525.46,500.74,525.95,475.73,439.82,467.33,516.22,498.16,468.49,489.41,454.83,422.5,483.42,545.87,606.23,581.21,568.07,570.29,519.76,527.44,492.29,541.74,595.56,661.57,726.3,944.88,1812.8,1403.48,1115.51,1467.46,1543.7,1474.54,1354.13,1278.92,1032.67,982.39,1141.16,1033.12,933.4,1620.09,2085.49
