fips,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01021,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01023,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01025,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01027,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01029,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01031,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01033,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01035,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01037,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01039,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01041,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01043,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01045,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01047,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01049,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01051,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01053,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01055,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01057,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01059,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01061,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01063,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01065,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01067,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01069,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01071,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01073,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01075,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01077,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01079,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01081,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01083,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01085,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01087,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01089,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01091,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01093,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01095,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01097,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01099,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01101,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
01103,81.25,82.1,81.4,80.4,79.2,78.5,75.75,73.7,66.6,60.9,60.45,63.55,65.05,74.35,154.5,171.0,136.0,142.75,138.0,143.75,167.75,190.25,192.25,184.75,197.0,187.0,167.5,155.5,168.0,184.5,180.5,184.0,178.0,186.0,197.0,223.0,233.0,227.0,193.0,181.0,194.0,260.0,195.0,243.0,263.0,292.0,366.0,382.0,509.0,438.0,398.0,479.0,574.0,544.0,560.0,484.58,393.25,376.39,405.67,413.97,379.28,552.48,909.01
