fips,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01097,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01099,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01101,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01103,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01105,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01107,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01109,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01111,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01113,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01115,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01117,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01119,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01121,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01123,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01125,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01127,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01129,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01131,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
01133,0.0047926,0.0052584,0.00572172,0.00534983,0.00652605,0.00604666,0.00577608,0.00747617,0.00815694,0.00761949,0.00917501,0.0102302,0.0127346,0.0136834,0.013104,0.0129384,0.0136229,0.0137638,0.0140047,0.0136377,0.0134697,0.0144804,0.0141085,0.0141567,0.0146682,0.0164819,0.0173517
04001,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04003,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04005,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04007,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04009,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04011,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04012,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04013,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04015,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04017,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04019,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04021,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04023,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04025,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
04027,0.00487291,0.00505577,0.00475677,0.00473948,0.00558211,0.00628883,0.00677562,0.00734149,0.00806057,0.0079815,0.00982737,0.0109591,0.013655,0.0146286,0.0137267,0.0136699,0.0143766,0.0145248,0.0146311,0.0145273,0.0143494,0.0154169,0.0150561,0.0150709,0.0156195,0.0175667,0.0184859
