fips,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01025,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01027,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01029,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01031,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01033,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01035,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01037,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01039,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01041,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01043,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01045,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01047,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01049,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01051,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01053,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01055,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01057,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01059,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01061,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01063,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01065,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01067,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01069,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01071,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01073,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01075,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01077,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
01079,0.56,0.56,0.55,0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,11.93,12.03,13.52,15.27
