fips,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
04015,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04017,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04019,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04021,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04023,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04025,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
04027,0.00285777,0.00245623,0.00252418,0.00240186,0.00295414,0.0028726,0.00247846,0.00260449,0.00267986,0.00314194,0.00497917,0.00414519,0.00334704,0.00395368,0.00463075,0.00480743,0.00477284,0.00488774,0.00458998,0.00541778,0.0052411,0.005015,0.005036,0.0052411,0.00580944,0.00610103
05001,0.00381036,0.00322596,0.00313206,0.00291831,0.00334086,0.00364727,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
05003,0.00381036,0.00322596,0.00313206,0.00291831,0.00334086,0.00364727,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
05005,0.00381036,0.00322596,0.00313206,0.00291831,0.00334086,0.00364727,0.00194966,0.00199167,0.00209051,0.00241422,0.00395862,0.003457,0.00273545,0.00330874,0.00378812,0.00396851,0.0039092,0.00398334,0.00377082,0.00348665,0.00366457,0.00366457,0.00349901,0.00373376,0.00446766,0.00487538
